time,temperature,precipitation,wind_speed
2026-08-31T00:00,25.1,0.0,0.6
2026-08-31T01:00,24.8,0.6,1.7
2026-08-31T02:00,24.3,0.7,2.3
2026-08-31T03:00,23.6,0.7,3.8
2026-08-31T04:00,23.4,1.8,5.4
2026-08-31T05:00,23.4,1.3,1.0
2026-08-31T06:00,23.4,1.1,0.2
2026-08-31T07:00,23.4,0.8,4.9
2026-08-31T08:00,23.5,0.9,7.2
2026-08-31T09:00,24.2,0.9,4.0
2026-08-31T10:00,23.6,1.4,5.9
2026-08-31T11:00,23.4,2.7,4.1
2026-08-31T12:00,23.8,3.6,5.9
2026-08-31T13:00,23.9,3.3,4.4
2026-08-31T14:00,24.1,1.8,6.8
2026-08-31T15:00,25.0,0.3,6.7
2026-08-31T16:00,24.5,4.0,7.3
2026-08-31T17:00,24.0,2.2,9.1
2026-08-31T18:00,23.1,1.0,7.6
2026-08-31T19:00,23.1,2.7,5.8
2026-08-31T20:00,23.3,1.8,4.8
2026-08-31T21:00,23.9,2.5,6.2
2026-08-31T22:00,23.5,3.3,4.8
2026-08-31T23:00,23.5,2.2,5.4
2026-09-01T00:00,23.3,1.9,5.6
2026-09-01T01:00,23.4,1.7,4.8
2026-09-01T02:00,23.2,0.7,7.3
2026-09-01T03:00,23.4,3.0,1.3
2026-09-01T04:00,22.8,0.7,1.7
2026-09-01T05:00,22.9,5.0,2.7
2026-09-01T06:00,22.8,3.7,4.2
2026-09-01T07:00,22.9,1.0,6.9
2026-09-01T08:00,23.3,1.2,6.6
2026-09-01T09:00,23.3,2.4,6.8
2026-09-01T10:00,23.2,4.2,6.1
2026-09-01T11:00,23.3,4.0,4.8
2026-09-01T12:00,23.5,2.5,8.0
2026-09-01T13:00,24.7,0.8,10.4
2026-09-01T14:00,25.1,0.7,9.2
2026-09-01T15:00,23.5,0.3,7.5
2026-09-01T16:00,24.0,0.3,6.2
2026-09-01T17:00,23.7,0.2,7.1
2026-09-01T18:00,23.6,0.1,7.2
2026-09-01T19:00,23.6,0.0,5.8
2026-09-01T20:00,23.2,0.0,4.2
2026-09-01T21:00,22.6,0.0,4.8
2026-09-01T22:00,22.6,0.0,4.0
2026-09-01T23:00,22.5,0.0,5.4
2026-09-02T00:00,22.4,0.0,4.2
2026-09-02T01:00,22.4,0.0,3.1
2026-09-02T02:00,22.5,0.0,1.5
2026-09-02T03:00,22.2,0.0,4.3
2026-09-02T04:00,22.1,0.1,3.1
2026-09-02T05:00,21.9,0.0,2.8
2026-09-02T06:00,22.0,0.0,2.7
2026-09-02T07:00,22.1,0.0,1.1
2026-09-02T08:00,22.7,0.0,4.6
2026-09-02T09:00,23.3,0.0,4.0
2026-09-02T10:00,24.2,0.0,2.7
2026-09-02T11:00,26.1,0.0,4.1
2026-09-02T12:00,26.5,0.0,3.3
2026-09-02T13:00,26.9,0.0,3.7
2026-09-02T14:00,27.6,0.0,3.6
2026-09-02T15:00,28.0,0.0,1.9
2026-09-02T16:00,27.7,0.4,1.7
2026-09-02T17:00,27.6,0.1,3.3
2026-09-02T18:00,27.0,0.0,3.1
2026-09-02T19:00,25.5,0.0,3.1
2026-09-02T20:00,24.6,0.0,3.3
2026-09-02T21:00,24.1,0.0,4.4
2026-09-02T22:00,23.4,0.0,2.9
2026-09-02T23:00,23.1,0.0,3.6
2026-09-03T00:00,22.7,0.0,2.3
2026-09-03T01:00,22.4,0.0,2.0
2026-09-03T02:00,22.2,0.0,2.2
2026-09-03T03:00,22.1,0.0,3.1
2026-09-03T04:00,21.6,0.0,2.6
2026-09-03T05:00,21.6,0.0,2.3
2026-09-03T06:00,21.5,0.0,3.1
2026-09-03T07:00,21.6,0.0,3.9
2026-09-03T08:00,22.6,0.0,4.9
2026-09-03T09:00,24.1,0.0,5.0
2026-09-03T10:00,25.8,0.0,5.1
2026-09-03T11:00,27.3,0.0,6.4
2026-09-03T12:00,28.3,0.0,6.6
2026-09-03T13:00,29.0,0.0,6.8
2026-09-03T14:00,29.5,0.0,7.7
2026-09-03T15:00,29.9,0.0,8.2
2026-09-03T16:00,29.8,0.0,8.3
2026-09-03T17:00,29.2,0.0,8.0
2026-09-03T18:00,28.2,0.0,6.8
2026-09-03T19:00,26.4,0.0,11.5
2026-09-03T20:00,24.9,0.0,11.7
2026-09-03T21:00,24.3,0.0,12.2
2026-09-03T22:00,23.4,0.0,10.7
2026-09-03T23:00,22.8,0.0,9.3
2026-09-04T00:00,22.1,0.0,7.6
2026-09-04T01:00,21.4,0.0,7.5
2026-09-04T02:00,20.9,0.0,7.3
2026-09-04T03:00,21.2,0.0,8.4
2026-09-04T04:00,20.7,0.0,7.2
2026-09-04T05:00,20.3,0.0,7.6
2026-09-04T06:00,19.9,0.0,7.6
2026-09-04T07:00,20.4,0.0,8.3
2026-09-04T08:00,21.8,0.0,8.2
2026-09-04T09:00,23.5,0.0,9.9
2026-09-04T10:00,25.0,0.0,12.6
2026-09-04T11:00,26.1,0.0,11.8
2026-09-04T12:00,26.9,0.0,12.1
2026-09-04T13:00,27.7,0.0,12.7
2026-09-04T14:00,28.2,0.0,13.3
2026-09-04T15:00,28.5,0.0,14.7
2026-09-04T16:00,27.9,0.0,16.2
2026-09-04T17:00,27.0,0.0,15.7
2026-09-04T18:00,25.6,0.0,13.1
2026-09-04T19:00,23.9,0.0,12.8
2026-09-04T20:00,22.6,0.0,12.1
2026-09-04T21:00,22.0,0.0,9.7
2026-09-04T22:00,21.5,0.0,11.6
2026-09-04T23:00,21.0,0.0,9.1
2026-09-05T00:00,20.2,0.0,6.1
2026-09-05T01:00,19.9,0.0,7.5
2026-09-05T02:00,19.6,0.0,7.9
2026-09-05T03:00,19.2,0.0,8.5
2026-09-05T04:00,18.8,0.0,8.5
2026-09-05T05:00,18.6,0.0,9.0
2026-09-05T06:00,18.4,0.0,6.4
2026-09-05T07:00,19.0,0.0,7.9
2026-09-05T08:00,20.5,0.0,9.3
2026-09-05T09:00,22.5,0.0,9.8
2026-09-05T10:00,23.8,0.0,11.9
2026-09-05T11:00,24.8,0.0,11.7
2026-09-05T12:00,26.2,0.0,12.6
2026-09-05T13:00,27.1,0.0,13.0
2026-09-05T14:00,27.7,0.0,13.8
2026-09-05T15:00,28.0,0.0,12.2
2026-09-05T16:00,27.6,0.0,13.4
2026-09-05T17:00,26.0,0.0,16.5
2026-09-05T18:00,25.0,0.0,14.4
2026-09-05T19:00,23.5,0.0,13.6
2026-09-05T20:00,22.3,0.0,13.2
2026-09-05T21:00,22.2,0.0,14.1
2026-09-05T22:00,21.5,0.0,13.1
2026-09-05T23:00,20.7,0.0,9.6
2026-09-06T00:00,20.0,0.0,7.1
2026-09-06T01:00,19.7,0.0,7.2
2026-09-06T02:00,19.4,0.0,7.8
2026-09-06T03:00,19.3,0.0,8.1
2026-09-06T04:00,18.9,0.0,6.5
2026-09-06T05:00,18.7,0.0,6.6
2026-09-06T06:00,18.6,0.0,7.1
2026-09-06T07:00,19.3,0.0,8.4
2026-09-06T08:00,21.1,0.0,11.1
