request_id,pickup_datetime,latitude,longitude,h3_index,from_edge,to_edge
call_20260830_0,2026-08-30 00:02:19,37.50071388001425,127.02615797864205,8830e1ca29fffff,218877837#0,520307303#0
call_20260830_1,2026-08-30 00:09:04,37.49448785768351,127.0332025604508,8830e1ca23fffff,-37403040,-176732665
call_20260830_2,2026-08-30 00:12:28,37.495623823379425,127.03222681272283,8830e1ca23fffff,-379232161#5,417750336#6
call_20260830_3,2026-08-30 00:15:59,37.495181265862314,127.03090972390812,8830e1ca21fffff,379232161#1,26163000#6
call_20260830_4,2026-08-30 00:17:17,37.502836253446034,127.03032367236592,8830e1ca2bfffff,117790036#0,26163000#6
call_20260830_5,2026-08-30 00:18:20,37.5028141568895,127.02682472226641,8830e1ca05fffff,-117790045#1,-542367267#1
call_20260830_6,2026-08-30 00:19:07,37.502299851395925,127.02718757936651,8830e1ca05fffff,417750337#2,26163000#6
call_20260830_7,2026-08-30 00:21:19,37.493049166152254,127.02603663639944,8830e1ca21fffff,-1056882877#1,521766182#1
call_20260830_8,2026-08-30 00:21:55,37.49448785768351,127.0332025604508,8830e1ca23fffff,-37403040,-1011529829#3
call_20260830_9,2026-08-30 00:31:43,37.5040854822356,127.02082907853352,8830e1ca63fffff,-239962780#0,-239954369
call_20260830_10,2026-08-30 00:34:35,37.49459484136941,127.0226631790743,8830e1ca2dfffff,-376649992,129731857#0
call_20260830_11,2026-08-30 00:34:47,37.50393972325179,127.02870393143951,8830e1ca05fffff,-417750338,-256787796#1
call_20260830_12,2026-08-30 00:45:15,37.50483519474745,127.02589954681402,8830e1ca05fffff,117790045#3,1376141183#1
call_20260830_13,2026-08-30 00:45:15,37.493628966374665,127.02383511246954,8830e1ca2dfffff,376649996#0,-117790062#4
call_20260830_14,2026-08-30 00:49:51,37.504654943797576,127.0313459185508,8830e1ca07fffff,803535315#0,239954009#1
call_20260830_15,2026-08-30 00:50:18,37.49448785768351,127.0332025604508,8830e1ca23fffff,-37403040,417750342#1
call_20260830_16,2026-08-30 00:51:05,37.50588029827637,127.03360951522615,8830e1ca07fffff,117790044#5,-541692164#0
call_20260830_17,2026-08-30 00:58:26,37.50362095073317,127.02160650798479,8830e1ca63fffff,-542367267#0,-256787796#7
call_20260830_18,2026-08-30 01:03:34,37.50588029827637,127.03360951522615,8830e1ca07fffff,117790044#5,379232161#5
call_20260830_19,2026-08-30 01:05:14,37.502049998848214,127.02697526780656,8830e1ca05fffff,417750337#3,-239954369
call_20260830_20,2026-08-30 01:06:44,37.504374562124504,127.02193503565296,8830e1ca63fffff,239962780#1,1537068129#2
call_20260830_21,2026-08-30 01:09:05,37.496578320628984,127.02933040392918,8830e1ca21fffff,309155295#0,417750342#1
call_20260830_22,2026-08-30 01:14:21,37.49449815535933,127.03323644926535,8830e1ca23fffff,37403040,117790060#1
call_20260830_23,2026-08-30 01:15:16,37.50345255104343,127.03373814642488,8830e1ca07fffff,117790055#1,417750337#2
call_20260830_24,2026-08-30 01:16:01,37.495441981711274,127.03173627457818,8830e1ca23fffff,379232161#2,218873820#0
call_20260830_25,2026-08-30 01:19:41,37.5042752931894,127.02150744623682,8830e1ca63fffff,-239962780#1,913949669
call_20260830_26,2026-08-30 01:20:46,37.50250802830833,127.02349016603078,8830e1ca29fffff,-129731717#1,-117790057
call_20260830_27,2026-08-30 01:21:14,37.5042752931894,127.02150744623682,8830e1ca63fffff,-239962780#1,-1537068129#0
call_20260830_28,2026-08-30 01:22:32,37.50498894109517,127.02107524799575,8830e1ca63fffff,239962776,1117538957#0
call_20260830_29,2026-08-30 01:24:26,37.50475430916638,127.03212748823265,8830e1ca07fffff,239954369,417750342#1
call_20260830_30,2026-08-30 01:27:07,37.503959847598566,127.02600280857723,8830e1ca05fffff,117790051#4,-117790031#2
call_20260830_31,2026-08-30 01:27:28,37.50039175658333,127.0289513122707,8830e1ca2bfffff,805827756#0,913949669
call_20260830_32,2026-08-30 01:30:44,37.50374958751189,127.03249323900444,8830e1ca07fffff,117790035,-541692164#0
call_20260830_33,2026-08-30 01:31:23,37.494904313831746,127.02709728383553,8830e1ca21fffff,-504227069,913949669
call_20260830_34,2026-08-30 01:36:33,37.49449815535933,127.03323644926535,8830e1ca23fffff,37403040,-379463130#1
call_20260830_35,2026-08-30 01:37:53,37.504625470747264,127.02271032803536,8830e1ca05fffff,239954462#1,-37403040
call_20260830_36,2026-08-30 01:38:31,37.49459484136941,127.0226631790743,8830e1ca2dfffff,-376649992,417933646#0
call_20260830_37,2026-08-30 01:40:57,37.50576406290385,127.0213912163928,8830e1ca63fffff,-239962778,913949669
call_20260830_38,2026-08-30 01:42:21,37.494904313831746,127.02709728383553,8830e1ca21fffff,-504227069,375049565#2
call_20260830_39,2026-08-30 01:42:57,37.49363908652725,127.02386900424202,8830e1ca2dfffff,-376649996#1,990628460#0
call_20260830_40,2026-08-30 01:53:20,37.495441981711274,127.03173627457818,8830e1ca23fffff,379232161#2,504227067#0
call_20260830_41,2026-08-30 01:54:59,37.49363908652725,127.02386900424202,8830e1ca2dfffff,-376649996#1,-1056882877#5
call_20260830_42,2026-08-30 01:55:46,37.50475430916638,127.03212748823265,8830e1ca07fffff,239954369,-239954462#0
call_20260830_43,2026-08-30 01:58:37,37.50519016862656,127.03131805755199,8830e1ca07fffff,417750342#2,-117790062#1
call_20260830_44,2026-08-30 01:59:02,37.50434445522376,127.02416589723256,8830e1ca05fffff,541692164#1,-129731721#2
call_20260830_45,2026-08-30 01:59:39,37.49345076747295,127.02589191739919,8830e1ca21fffff,1056882877#1,-805827765
call_20260830_46,2026-08-30 02:00:07,37.49459484136941,127.0226631790743,8830e1ca2dfffff,-376649992,-26004328#1
call_20260830_47,2026-08-30 02:00:48,37.5042752931894,127.02150744623682,8830e1ca63fffff,-239962780#1,-417933642#4
call_20260830_48,2026-08-30 02:03:31,37.504770390762204,127.03209742730171,8830e1ca07fffff,-239954369,1229817205#0
call_20260830_49,2026-08-30 02:06:47,37.49459484136941,127.0226631790743,8830e1ca2dfffff,-376649992,218877837#0
call_20260830_50,2026-08-30 02:07:45,37.49712442436917,127.03101364880621,8830e1ca2bfffff,-309155295#4,472042764
call_20260830_51,2026-08-30 02:09:23,37.50576406290385,127.0213912163928,8830e1ca63fffff,-239962778,37403040
call_20260830_52,2026-08-30 02:09:28,37.49363908652725,127.02386900424202,8830e1ca2dfffff,-376649996#1,-129731857#0
call_20260830_53,2026-08-30 02:09:58,37.50173263892539,127.02724809652388,8830e1ca2bfffff,-379463130#1,256787796#0
call_20260830_54,2026-08-30 02:17:47,37.50035868665,127.02660569228833,8830e1ca29fffff,521770119#0,-1537068130#1
call_20260830_55,2026-08-30 02:17:48,37.50575412207789,127.02135731481903,8830e1ca63fffff,239962778,417933646#0
call_20260830_56,2026-08-30 02:20:01,37.49945965786828,127.02950995898469,8830e1ca2bfffff,-129731858#3,521766182#2
call_20260830_57,2026-08-30 02:22:35,37.495441981711274,127.03173627457818,8830e1ca23fffff,379232161#2,914407834#0
call_20260830_58,2026-08-30 02:26:27,37.49525506406574,127.03104951272522,8830e1ca21fffff,-379232161#3,-129731717#1
call_20260830_59,2026-08-30 02:31:33,37.50412631580651,127.02349290705476,8830e1ca05fffff,542367267#1,-117790044#5
call_20260830_60,2026-08-30 02:34:28,37.49420936688719,127.03238496451934,8830e1ca23fffff,805119750,417933645#2
call_20260830_61,2026-08-30 02:36:00,37.5059088581618,127.0336035620173,8830e1ca07fffff,-117790044#5,256787796#6
call_20260830_62,2026-08-30 02:36:51,37.501870886847556,127.02942326599106,8830e1ca2bfffff,-239954009#0,239953789
