o_cell_id,o_cell_x,o_cell_y,d_cell_id,d_cell_x,d_cell_y,o_admi_cd,d_admi_cd,st_time_cd,fns_time_cd,in_forn_div_nm,move_trans,move_dist,move_time,male_00_cnt,male_10_cnt,male_15_cnt,male_20_cnt,male_25_cnt,male_30_cnt,male_35_cnt,male_40_cnt,male_45_cnt,male_50_cnt,male_55_cnt,male_60_cnt,male_65_cnt,male_70_cnt,male_75_cnt,male_80_cnt,male_85_cnt,feml_00_cnt,feml_10_cnt,feml_15_cnt,feml_20_cnt,feml_25_cnt,feml_30_cnt,feml_35_cnt,feml_40_cnt,feml_45_cnt,feml_50_cnt,feml_55_cnt,feml_60_cnt,feml_65_cnt,feml_70_cnt,feml_75_cnt,feml_80_cnt,feml_85_cnt,total_cnt,etl_ymd,o_lat,o_lon,d_lat,d_lon
다사60504700,960625,1947125,다사57505025,957625,1950375,11680565,11200615,1700,1720,내국인,8,4493,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,20250602,37.522582971889776,127.05439836599928,37.55174320721205,127.02026118653968
다사61004575,961125,1945875,다사72754925,972875,1949375,11680580,41450630,1800,1840,내국인,6,12208,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,20250602,37.511337466509374,127.06012278458503,37.54330498989778,127.19294461789795
다사60254650,960375,1946625,다사61505200,961625,1952125,11680580,11230650,0,5,내국인,8,5602,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,20250602,37.51806558451645,127.05159619877361,37.56769181532334,127.0654534142578
다사60754375,960875,1943875,다사62254275,962375,1942875,11680600,11680670,16,16,내국인,7,1744,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,20250602,37.4933001114331,127.05740049487144,37.48434902936883,127.07441986755542
다사60754550,960875,1945625,다사42754225,942875,1942375,11680580,41210540,1840,1940,내국인,6,18305,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,20250602,37.50907355303464,127.05730737765863,37.478842132324495,126.85390287264943
다사60754600,960875,1946125,다사56254325,956375,1943375,11680580,11650530,13,13,내국인,8,5240,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,20250602,37.51358024284307,127.05728075940617,37.48859175959211,127.00652577063454
다사60504525,960625,1945375,다사57504625,957625,1946375,11680590,11680521,13,15,내국인,6,3132,66,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,20250602,37.5068095726764,127.05449214077976,37.515690013244736,127.02049207624093
다사61004200,961125,1942125,다사50003250,950125,1932625,11680660,41171570,720,840,내국인,8,14632,78,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,20250602,37.477537182730025,127.0603209804071,37.39138211371345,126.9365573555816
다사60754550,960875,1945625,다사63504825,963625,1948375,11680580,11215830,1720,1740,내국인,6,3818,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,20250602,37.50907355303464,127.05730737765863,37.533972919052715,127.08828621070711
다사61004450,961125,1944625,다사67254300,967375,1943125,11680610,11710646,1740,23,내국인,5,6596,340,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,20250602,37.50007072689097,127.06018888664534,37.48679258333976,127.13096312688158
다사60504200,960625,1942125,다사59504300,959625,1943125,11680690,11680655,11,11,내국인,7,1312,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,20250602,37.477516004439785,127.05466610013423,37.48648624319912,127.04330149983855
다사60504400,960625,1944125,다사30753000,930875,1930125,11680600,41390597,14,16,내국인,8,33055,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,20250602,37.49554283297695,127.05455907802659,37.36761348423134,126.71933776253866
다사60504525,960625,1945375,다사60504950,960625,1949625,11680630,11200690,15,16,내국인,6,4400,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.7,20250602,37.5068095726764,127.05449214077976,37.54511632572846,127.0542642751565
