request_id,pickup_datetime,latitude,longitude,h3_index,from_edge,to_edge,depart_sec
call_20260831_1867,2026-08-31 17:00:01,37.50161833333333,127.03482,8830e1ca2bfffff,C2D2,C2B2,1.0
call_20260831_1868,2026-08-31 17:02:49,37.49504833333333,127.02013,8830e1ca2dfffff,B0A0,C2B2,169.0
call_20260831_1869,2026-08-31 17:03:57,37.50161833333333,127.03482,8830e1ca2bfffff,C2D2,A1A0,237.0
call_20260831_1870,2026-08-31 17:04:09,37.501715000000004,127.02018,8830e1ca29fffff,B2A2,B3A3,249.0
call_20260831_1871,2026-08-31 17:04:39,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,B1B2,279.0
call_20260831_1872,2026-08-31 17:05:17,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,B1C1,317.0
call_20260831_1873,2026-08-31 17:05:55,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,B2B3,355.0
call_20260831_1874,2026-08-31 17:06:12,37.50495166666667,127.02982,8830e1ca05fffff,B3C3,D0D1,372.0
call_20260831_1875,2026-08-31 17:08:43,37.50488,127.0300725,8830e1ca05fffff,C2C3,A0B0,523.0
call_20260831_1876,2026-08-31 17:09:13,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,C1B1,553.0
call_20260831_1877,2026-08-31 17:09:19,37.49504833333333,127.02013,8830e1ca2dfffff,B0A0,C0C1,559.0
call_20260831_1878,2026-08-31 17:09:21,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,C2B2,561.0
call_20260831_1879,2026-08-31 17:10:26,37.49845333333333,127.02492749999999,8830e1ca29fffff,B2B1,C1C0,626.0
call_20260831_1880,2026-08-31 17:10:54,37.50154666666667,127.0200725,8830e1ca29fffff,A1A2,C2B2,654.0
call_20260831_1881,2026-08-31 17:11:13,37.49845333333333,127.0299275,8830e1ca2bfffff,C2C1,C2B2,673.0
call_20260831_1882,2026-08-31 17:11:20,37.49838166666667,127.03018,8830e1ca2bfffff,D1C1,C3D3,680.0
call_20260831_1883,2026-08-31 17:11:36,37.50178666666667,127.0349275,8830e1ca3dfffff,D3D2,A2A3,696.0
call_20260831_1884,2026-08-31 17:12:04,37.495086666666666,127.0199275,8830e1ca2dfffff,A1A0,B1B0,724.0
call_20260831_1885,2026-08-31 17:13:17,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,C2B2,797.0
call_20260831_1886,2026-08-31 17:13:20,37.49821333333333,127.0200725,8830e1ca29fffff,A0A1,B3B2,800.0
call_20260831_1887,2026-08-31 17:14:20,37.501715000000004,127.02018,8830e1ca29fffff,B2A2,D2D3,860.0
call_20260831_1888,2026-08-31 17:14:29,37.494951666666665,127.02481999999999,8830e1ca21fffff,A0B0,D2C2,869.0
call_20260831_1889,2026-08-31 17:14:54,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,D2D3,894.0
call_20260831_1890,2026-08-31 17:15:29,37.494951666666665,127.02982,8830e1ca21fffff,B0C0,D2C2,929.0
call_20260831_1891,2026-08-31 17:15:53,37.50495166666667,127.02982,8830e1ca05fffff,B3C3,B1A1,953.0
call_20260831_1892,2026-08-31 17:16:46,37.49821333333333,127.0300725,8830e1ca2bfffff,C0C1,B0A0,1006.0
call_20260831_1893,2026-08-31 17:16:49,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,C1C2,1009.0
call_20260831_1894,2026-08-31 17:16:49,37.505048333333335,127.02013,8830e1ca63fffff,B3A3,A3B3,1009.0
call_20260831_1895,2026-08-31 17:17:10,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,D3C3,1030.0
call_20260831_1896,2026-08-31 17:18:17,37.50178666666667,127.0299275,8830e1ca2bfffff,C3C2,C1C2,1097.0
call_20260831_1897,2026-08-31 17:18:32,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,C1C0,1112.0
call_20260831_1898,2026-08-31 17:19:24,37.50154666666667,127.0350725,8830e1ca3dfffff,D1D2,C2C3,1164.0
call_20260831_1899,2026-08-31 17:19:52,37.50154666666667,127.0300725,8830e1ca2bfffff,C1C2,D2D1,1192.0
call_20260831_1900,2026-08-31 17:20:14,37.49821333333333,127.0250725,8830e1ca29fffff,B0B1,B0A0,1214.0
call_20260831_1901,2026-08-31 17:20:19,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,B0C0,1219.0
call_20260831_1902,2026-08-31 17:20:23,37.504913333333334,127.0350725,8830e1ca07fffff,D2D3,B3C3,1223.0
call_20260831_1903,2026-08-31 17:20:41,37.501715000000004,127.02517999999999,8830e1ca29fffff,C2B2,C1C0,1241.0
call_20260831_1904,2026-08-31 17:21:07,37.50154666666667,127.0350725,8830e1ca3dfffff,D1D2,C0B0,1267.0
call_20260831_1905,2026-08-31 17:21:23,37.498284999999996,127.03482,8830e1ca2bfffff,C1D1,B0A0,1283.0
call_20260831_1906,2026-08-31 17:21:34,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,B1B0,1294.0
call_20260831_1907,2026-08-31 17:21:34,37.498284999999996,127.03482,8830e1ca2bfffff,C1D1,C1B1,1294.0
call_20260831_1908,2026-08-31 17:21:51,37.495086666666666,127.0199275,8830e1ca2dfffff,A1A0,D0D1,1311.0
call_20260831_1909,2026-08-31 17:21:57,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,A3B3,1317.0
call_20260831_1910,2026-08-31 17:22:53,37.49504833333333,127.02013,8830e1ca2dfffff,B0A0,A3B3,1373.0
call_20260831_1911,2026-08-31 17:23:03,37.49838166666667,127.03018,8830e1ca2bfffff,D1C1,A1A0,1383.0
call_20260831_1912,2026-08-31 17:23:09,37.498284999999996,127.02982,8830e1ca2bfffff,B1C1,D3D2,1389.0
call_20260831_1913,2026-08-31 17:23:50,37.494951666666665,127.02481999999999,8830e1ca21fffff,A0B0,B0A0,1430.0
call_20260831_1914,2026-08-31 17:24:10,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,C3C2,1450.0
call_20260831_1915,2026-08-31 17:24:23,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,A1A2,1463.0
call_20260831_1916,2026-08-31 17:24:48,37.501715000000004,127.02517999999999,8830e1ca29fffff,C2B2,A3B3,1488.0
call_20260831_1917,2026-08-31 17:24:53,37.50154666666667,127.0300725,8830e1ca2bfffff,C1C2,B0B1,1493.0
call_20260831_1918,2026-08-31 17:24:58,37.505048333333335,127.02013,8830e1ca63fffff,B3A3,D3C3,1498.0
call_20260831_1919,2026-08-31 17:25:11,37.501715000000004,127.02018,8830e1ca29fffff,B2A2,C3D3,1511.0
call_20260831_1920,2026-08-31 17:25:32,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,C2B2,1532.0
call_20260831_1921,2026-08-31 17:25:34,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,B2B1,1534.0
call_20260831_1922,2026-08-31 17:25:39,37.49838166666667,127.02018,8830e1ca29fffff,B1A1,D0D1,1539.0
call_20260831_1923,2026-08-31 17:25:47,37.498284999999996,127.03482,8830e1ca2bfffff,C1D1,D0D1,1547.0
call_20260831_1924,2026-08-31 17:25:53,37.495086666666666,127.0349275,8830e1ca23fffff,D1D0,D0D1,1553.0
call_20260831_1925,2026-08-31 17:27:01,37.49821333333333,127.0250725,8830e1ca29fffff,B0B1,A2B2,1621.0
call_20260831_1926,2026-08-31 17:28:10,37.49838166666667,127.02517999999999,8830e1ca29fffff,C1B1,B2B1,1690.0
call_20260831_1927,2026-08-31 17:28:12,37.49845333333333,127.0349275,8830e1ca2bfffff,D2D1,D3D2,1692.0
call_20260831_1928,2026-08-31 17:28:43,37.49838166666667,127.02517999999999,8830e1ca29fffff,C1B1,A2A3,1723.0
call_20260831_1929,2026-08-31 17:28:51,37.49504833333333,127.03018,8830e1ca21fffff,D0C0,C1B1,1731.0
call_20260831_1930,2026-08-31 17:29:16,37.49504833333333,127.02517999999999,8830e1ca21fffff,C0B0,B0C0,1756.0
call_20260831_1931,2026-08-31 17:29:18,37.49821333333333,127.0300725,8830e1ca2bfffff,C0C1,D2D1,1758.0
call_20260831_1932,2026-08-31 17:29:43,37.498284999999996,127.03482,8830e1ca2bfffff,C1D1,A1A2,1783.0
call_20260831_1933,2026-08-31 17:29:46,37.49504833333333,127.02013,8830e1ca2dfffff,B0A0,D2C2,1786.0
call_20260831_1934,2026-08-31 17:31:08,37.494951666666665,127.02982,8830e1ca21fffff,B0C0,C1B1,1868.0
call_20260831_1935,2026-08-31 17:31:50,37.49838166666667,127.03018,8830e1ca2bfffff,D1C1,A1B1,1910.0
call_20260831_1936,2026-08-31 17:32:08,37.50161833333333,127.03482,8830e1ca2bfffff,C2D2,A1B1,1928.0
call_20260831_1937,2026-08-31 17:32:20,37.50178666666667,127.02492749999999,8830e1ca29fffff,B3B2,D2D1,1940.0
call_20260831_1938,2026-08-31 17:33:16,37.494951666666665,127.03487,8830e1ca23fffff,C0D0,A2A1,1996.0
call_20260831_1939,2026-08-31 17:33:44,37.49821333333333,127.0200725,8830e1ca29fffff,A0A1,A3B3,2024.0
