request_id,request_sec,pickup_sec,status
call_20260831_1867,1.0,60.0,picked_up
call_20260831_1868,169.0,194.0,picked_up
call_20260831_1869,237.0,281.0,picked_up
call_20260831_1870,249.0,280.0,picked_up
call_20260831_1871,279.0,363.0,picked_up
call_20260831_1872,317.0,384.0,picked_up
call_20260831_1873,355.0,449.0,picked_up
call_20260831_1874,372.0,424.0,picked_up
call_20260831_1875,523.0,576.0,picked_up
call_20260831_1876,553.0,593.0,picked_up
call_20260831_1877,559.0,583.0,picked_up
call_20260831_1878,561.0,617.0,picked_up
call_20260831_1879,626.0,672.0,picked_up
call_20260831_1880,654.0,714.0,picked_up
call_20260831_1881,673.0,827.0,picked_up
call_20260831_1882,680.0,783.0,picked_up
call_20260831_1883,696.0,830.0,picked_up
call_20260831_1884,724.0,753.0,picked_up
call_20260831_1885,797.0,829.0,picked_up
call_20260831_1886,800.0,907.0,picked_up
call_20260831_1887,860.0,928.0,picked_up
call_20260831_1888,869.0,1090.0,picked_up
call_20260831_1889,894.0,958.0,picked_up
call_20260831_1890,929.0,989.0,picked_up
call_20260831_1891,953.0,1000.0,picked_up
call_20260831_1892,1006.0,1202.0,picked_up
call_20260831_1893,1009.0,,timeout
call_20260831_1894,1009.0,1079.0,picked_up
call_20260831_1895,1030.0,1153.0,picked_up
call_20260831_1896,1097.0,1154.0,picked_up
call_20260831_1897,1112.0,1183.0,picked_up
call_20260831_1898,1164.0,1519.0,picked_up
call_20260831_1899,1192.0,1472.0,picked_up
call_20260831_1900,1214.0,1272.0,picked_up
call_20260831_1901,1219.0,1333.0,picked_up
call_20260831_1902,1223.0,1298.0,picked_up
call_20260831_1903,1241.0,1264.0,picked_up
call_20260831_1904,1267.0,1745.0,picked_up
call_20260831_1905,1283.0,1338.0,picked_up
call_20260831_1906,1294.0,1408.0,picked_up
call_20260831_1907,1294.0,1448.0,picked_up
call_20260831_1908,1311.0,1362.0,picked_up
call_20260831_1909,1317.0,1597.0,picked_up
call_20260831_1910,1373.0,1570.0,picked_up
call_20260831_1911,1383.0,,timeout
call_20260831_1912,1389.0,1525.0,picked_up
call_20260831_1913,1430.0,1900.0,picked_up
call_20260831_1914,1450.0,1517.0,picked_up
call_20260831_1915,1463.0,1702.0,picked_up
call_20260831_1916,1488.0,1695.0,picked_up
call_20260831_1917,1493.0,,timeout
call_20260831_1918,1498.0,1660.0,picked_up
call_20260831_1919,1511.0,1748.0,picked_up
call_20260831_1920,1532.0,,timeout
call_20260831_1921,1534.0,1942.0,picked_up
call_20260831_1922,1539.0,1575.0,picked_up
call_20260831_1923,1547.0,,timeout
call_20260831_1924,1553.0,2048.0,picked_up
call_20260831_1925,1621.0,1903.0,picked_up
call_20260831_1926,1690.0,1883.0,picked_up
call_20260831_1927,1692.0,1854.0,picked_up
call_20260831_1928,1723.0,2117.0,picked_up
call_20260831_1929,1731.0,,timeout
call_20260831_1930,1756.0,,timeout
call_20260831_1931,1758.0,,timeout
call_20260831_1932,1783.0,2057.0,picked_up
call_20260831_1933,1786.0,1897.0,picked_up
call_20260831_1934,1868.0,2025.0,picked_up
call_20260831_1935,1910.0,2195.0,picked_up
call_20260831_1936,1928.0,2064.0,picked_up
call_20260831_1937,1940.0,2251.0,picked_up
call_20260831_1938,1996.0,2371.0,picked_up
call_20260831_1939,2024.0,,timeout
call_20260831_1940,2028.0,,timeout
call_20260831_1941,2053.0,2165.0,picked_up
call_20260831_1942,2084.0,2120.0,picked_up
call_20260831_1943,2089.0,2264.0,picked_up
call_20260831_1944,2173.0,2265.0,picked_up
call_20260831_1945,2174.0,2345.0,picked_up
call_20260831_1946,2254.0,2565.0,picked_up
call_20260831_1947,2279.0,2568.0,picked_up
call_20260831_1948,2282.0,2321.0,picked_up
call_20260831_1949,2291.0,2476.0,picked_up
call_20260831_1950,2306.0,2436.0,picked_up
call_20260831_1951,2312.0,2393.0,picked_up
call_20260831_1952,2433.0,2522.0,picked_up
call_20260831_1953,2535.0,2615.0,picked_up
call_20260831_1954,2567.0,2597.0,picked_up
call_20260831_1955,2600.0,2776.0,picked_up
call_20260831_1956,2604.0,2641.0,picked_up
call_20260831_1957,2627.0,2660.0,picked_up
call_20260831_1958,2632.0,2767.0,picked_up
call_20260831_1959,2644.0,2875.0,picked_up
call_20260831_1960,2646.0,2751.0,picked_up
call_20260831_1961,2653.0,3023.0,picked_up
call_20260831_1962,2752.0,2785.0,picked_up
call_20260831_1963,2795.0,2863.0,picked_up
call_20260831_1964,2829.0,2932.0,picked_up
call_20260831_1965,2852.0,3005.0,picked_up
call_20260831_1966,2855.0,2955.0,picked_up
call_20260831_1967,2860.0,3116.0,picked_up
call_20260831_1968,2886.0,3200.0,picked_up
call_20260831_1969,2888.0,2911.0,picked_up
call_20260831_1970,2922.0,3046.0,picked_up
call_20260831_1971,2953.0,3016.0,picked_up
call_20260831_1972,2995.0,3113.0,picked_up
call_20260831_1973,3011.0,3187.0,picked_up
call_20260831_1974,3048.0,3377.0,picked_up
call_20260831_1975,3062.0,3518.0,picked_up
call_20260831_1976,3106.0,3238.0,picked_up
call_20260831_1977,3108.0,3313.0,picked_up
call_20260831_1978,3179.0,3233.0,picked_up
call_20260831_1979,3191.0,3278.0,picked_up
call_20260831_1980,3200.0,,pending
call_20260831_1981,3203.0,,pending
call_20260831_1982,3243.0,3400.0,picked_up
call_20260831_1983,3247.0,3344.0,picked_up
call_20260831_1984,3296.0,3506.0,picked_up
call_20260831_1985,3331.0,3394.0,picked_up
call_20260831_1986,3388.0,,pending
call_20260831_1987,3398.0,,pending
call_20260831_1988,3400.0,3576.0,picked_up
call_20260831_1989,3405.0,3475.0,picked_up
call_20260831_1990,3413.0,,pending
call_20260831_1991,3434.0,,pending
call_20260831_1992,3470.0,,pending
call_20260831_1993,3483.0,,pending
call_20260831_1994,3516.0,3559.0,picked_up
call_20260831_1995,3541.0,3600.0,picked_up
