request_id,request_sec,pickup_sec,status
call_20260831_197,4.0,34.0,picked_up
call_20260831_198,99.0,145.0,picked_up
call_20260831_199,164.0,227.0,picked_up
call_20260831_200,290.0,346.0,picked_up
call_20260831_201,296.0,329.0,picked_up
call_20260831_202,368.0,393.0,picked_up
call_20260831_203,391.0,416.0,picked_up
call_20260831_204,575.0,588.0,picked_up
call_20260831_205,576.0,619.0,picked_up
call_20260831_206,590.0,600.0,picked_up
call_20260831_207,701.0,734.0,picked_up
call_20260831_208,739.0,772.0,picked_up
call_20260831_209,764.0,804.0,picked_up
call_20260831_210,788.0,801.0,picked_up
call_20260831_211,820.0,851.0,picked_up
call_20260831_212,833.0,856.0,picked_up
call_20260831_213,847.0,870.0,picked_up
call_20260831_214,1047.0,1113.0,picked_up
call_20260831_215,1051.0,1096.0,picked_up
call_20260831_216,1116.0,1157.0,picked_up
call_20260831_217,1127.0,1149.0,picked_up
call_20260831_218,1155.0,1163.0,picked_up
call_20260831_219,1421.0,1449.0,picked_up
call_20260831_220,1482.0,1502.0,picked_up
call_20260831_221,1537.0,1568.0,picked_up
call_20260831_222,1577.0,1635.0,picked_up
call_20260831_223,1638.0,1675.0,picked_up
call_20260831_224,1642.0,1652.0,picked_up
call_20260831_225,1726.0,1788.0,picked_up
call_20260831_226,1751.0,1760.0,picked_up
call_20260831_227,1778.0,1814.0,picked_up
call_20260831_228,1958.0,1975.0,picked_up
call_20260831_229,1996.0,2014.0,picked_up
call_20260831_230,2146.0,2163.0,picked_up
call_20260831_231,2166.0,2197.0,picked_up
call_20260831_232,2183.0,2195.0,picked_up
call_20260831_233,2225.0,2657.0,picked_up
call_20260831_234,2244.0,2299.0,picked_up
call_20260831_235,2252.0,2328.0,picked_up
call_20260831_236,2291.0,2334.0,picked_up
call_20260831_237,2344.0,2363.0,picked_up
call_20260831_238,2449.0,2473.0,picked_up
call_20260831_239,2611.0,2625.0,picked_up
call_20260831_240,2659.0,2725.0,picked_up
call_20260831_241,2762.0,2771.0,picked_up
call_20260831_242,2799.0,2823.0,picked_up
call_20260831_243,2831.0,2852.0,picked_up
call_20260831_244,2857.0,2878.0,picked_up
call_20260831_245,2860.0,2872.0,picked_up
call_20260831_246,2933.0,2982.0,picked_up
call_20260831_247,2938.0,3029.0,picked_up
call_20260831_248,3072.0,3099.0,picked_up
call_20260831_249,3085.0,3098.0,picked_up
call_20260831_250,3105.0,3174.0,picked_up
call_20260831_251,3106.0,3181.0,picked_up
call_20260831_252,3151.0,3174.0,picked_up
call_20260831_253,3161.0,3187.0,picked_up
call_20260831_254,3364.0,3396.0,picked_up
call_20260831_255,3712.0,3741.0,picked_up
call_20260831_256,3712.0,3766.0,picked_up
call_20260831_257,3979.0,4010.0,picked_up
call_20260831_258,4002.0,4058.0,picked_up
call_20260831_259,4019.0,4058.0,picked_up
call_20260831_260,4302.0,4371.0,picked_up
call_20260831_261,4311.0,4336.0,picked_up
call_20260831_262,4396.0,4421.0,picked_up
call_20260831_263,4439.0,4452.0,picked_up
call_20260831_264,4799.0,4837.0,picked_up
call_20260831_265,5089.0,5150.0,picked_up
call_20260831_266,5111.0,5129.0,picked_up
call_20260831_267,5157.0,5164.0,picked_up
call_20260831_268,5239.0,5281.0,picked_up
call_20260831_269,5354.0,5372.0,picked_up
call_20260831_270,5361.0,5382.0,picked_up
call_20260831_271,5590.0,5611.0,picked_up
call_20260831_272,5762.0,5775.0,picked_up
call_20260831_273,6115.0,6138.0,picked_up
call_20260831_274,6392.0,6411.0,picked_up
call_20260831_275,6598.0,6626.0,picked_up
call_20260831_276,6878.0,6895.0,picked_up
call_20260831_277,6886.0,6909.0,picked_up
call_20260831_278,6988.0,7035.0,picked_up
call_20260831_279,7073.0,7087.0,picked_up
