time_sec,taxi_id,from_cell,to_cell,to_edge,travel_time_sec
1.0,taxi_39,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,29.591511556924523
1.0,taxi_8,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,29.591511556924523
1.0,taxi_5,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,43.895822119548
1.0,taxi_1,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,55.63996399639966
1.0,taxi_41,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,56.859939401124386
1.0,taxi_35,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,62.910390336568966
1.0,taxi_19,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,78.08414680642173
1.0,taxi_0,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,82.66802009655852
1.0,taxi_33,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,87.24376978442032
1.0,taxi_46,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,87.48382924278572
1.0,taxi_9,8830e1ca63fffff,8830e1ca2dfffff,-376649992,99.83324231107409
1.0,taxi_12,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,102.17547160486916
1.0,taxi_2,8830e1ca63fffff,8830e1ca2dfffff,-376649992,108.58848870082741
300.0,taxi_49,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,46.67144226818301
300.0,taxi_7,8830e1ca29fffff,8830e1ca2dfffff,-376649992,49.00807400431078
300.0,taxi_45,8830e1ca29fffff,8830e1ca2dfffff,-376649992,60.903082037814436
300.0,taxi_respawn_1,8830e1ca29fffff,8830e1ca2dfffff,-376649992,64.1225664095404
300.0,taxi_34,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,67.83255257739025
300.0,taxi_14,8830e1ca29fffff,8830e1ca2dfffff,-376649992,71.14702288840004
300.0,taxi_respawn_6,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,78.08414680642173
300.0,taxi_24,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,79.30932914755043
300.0,taxi_44,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,86.7372478514625
300.0,taxi_31,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,87.96278226368511
300.0,taxi_28,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,99.78813153254318
300.0,taxi_16,8830e1ca2bfffff,8830e1ca07fffff,-117790040,68.33153801416681
300.0,taxi_10,8830e1ca2bfffff,8830e1ca07fffff,-117790040,69.98325699709976
300.0,taxi_23,8830e1ca29fffff,8830e1ca07fffff,-117790040,76.38636528033132
300.0,taxi_43,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
300.0,taxi_17,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,87.96955229932736
600.0,taxi_respawn_10,8830e1ca29fffff,8830e1ca2dfffff,-376649992,64.1225664095404
600.0,taxi_3,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,77.32025521251707
600.0,taxi_respawn_4,8830e1ca05fffff,8830e1ca2dfffff,-376649992,80.94841869588276
600.0,taxi_respawn_9,8830e1ca05fffff,8830e1ca2dfffff,-376649992,84.45354988041296
600.0,taxi_respawn_12,8830e1ca63fffff,8830e1ca2dfffff,-376649992,91.15062250969929
600.0,taxi_26,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,93.57098929647145
600.0,taxi_respawn_7,8830e1ca05fffff,8830e1ca2dfffff,-376649992,94.01360108868104
600.0,taxi_15,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,105.59714003073776
600.0,taxi_respawn_5,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,102.0416879512301
600.0,taxi_11,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,111.75483164140016
600.0,taxi_48,8830e1ca2bfffff,8830e1ca07fffff,-117790040,63.7737017622538
900.0,taxi_10,8830e1ca2bfffff,8830e1ca07fffff,-117790040,25.52111813790366
900.0,taxi_45,8830e1ca2bfffff,8830e1ca07fffff,-117790040,48.54568454310865
900.0,taxi_respawn_19,8830e1ca05fffff,8830e1ca07fffff,-117790040,52.47266121419495
900.0,taxi_43,8830e1ca05fffff,8830e1ca07fffff,-117790040,54.144139127264594
900.0,taxi_41,8830e1ca05fffff,8830e1ca07fffff,-117790040,60.49624471587047
900.0,taxi_34,8830e1ca2bfffff,8830e1ca07fffff,-117790040,62.072010350976164
900.0,taxi_29,8830e1ca2bfffff,8830e1ca07fffff,-117790040,65.64839261640837
900.0,taxi_25,8830e1ca2bfffff,8830e1ca07fffff,-117790040,68.49780070902419
900.0,taxi_47,8830e1ca2bfffff,8830e1ca07fffff,-117790040,72.98187089041724
900.0,taxi_27,8830e1ca29fffff,8830e1ca07fffff,-117790040,77.73476911675459
900.0,taxi_40,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
900.0,taxi_49,8830e1ca29fffff,8830e1ca07fffff,-117790040,87.85964324441781
900.0,taxi_respawn_15,8830e1ca29fffff,8830e1ca07fffff,-117790040,96.29024240813277
900.0,taxi_respawn_11,8830e1ca29fffff,8830e1ca07fffff,-117790040,119.49193819935226
900.0,taxi_14,8830e1ca2dfffff,8830e1ca07fffff,-117790040,131.6982572562143
900.0,taxi_15,8830e1ca2dfffff,8830e1ca07fffff,-117790040,131.6982572562143
900.0,taxi_19,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,71.28181743337183
900.0,taxi_7,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,87.24376978442032
900.0,taxi_respawn_18,8830e1ca2bfffff,8830e1ca23fffff,-176732665,111.21463591426227
1200.0,taxi_respawn_10,8830e1ca29fffff,8830e1ca2dfffff,-376649992,34.56955708566427
1200.0,taxi_respawn_26,8830e1ca29fffff,8830e1ca2dfffff,-376649992,37.7251766705665
1200.0,taxi_5,8830e1ca05fffff,8830e1ca2dfffff,-376649992,83.67548351469537
1200.0,taxi_respawn_29,8830e1ca05fffff,8830e1ca2dfffff,-376649992,94.01360108868104
1200.0,taxi_respawn_3,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,97.75559992607938
1200.0,taxi_20,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,99.80760292572938
