time_sec,h3_index,idle_taxis
1.0,8830e1ca05fffff,3
1.0,8830e1ca07fffff,5
1.0,8830e1ca21fffff,0
1.0,8830e1ca23fffff,0
1.0,8830e1ca29fffff,6
1.0,8830e1ca2bfffff,2
1.0,8830e1ca2dfffff,2
1.0,8830e1ca63fffff,8
300.0,8830e1ca05fffff,7
300.0,8830e1ca07fffff,5
300.0,8830e1ca21fffff,3
300.0,8830e1ca23fffff,1
300.0,8830e1ca29fffff,9
300.0,8830e1ca2bfffff,11
300.0,8830e1ca2dfffff,4
300.0,8830e1ca63fffff,3
300.0,internal_or_unknown,3
600.0,8830e1ca05fffff,8
600.0,8830e1ca07fffff,5
600.0,8830e1ca21fffff,3
600.0,8830e1ca23fffff,1
600.0,8830e1ca29fffff,5
600.0,8830e1ca2bfffff,11
600.0,8830e1ca2dfffff,2
600.0,8830e1ca63fffff,2
600.0,internal_or_unknown,7
900.0,8830e1ca05fffff,9
900.0,8830e1ca07fffff,1
900.0,8830e1ca21fffff,4
900.0,8830e1ca23fffff,0
900.0,8830e1ca29fffff,9
900.0,8830e1ca2bfffff,10
900.0,8830e1ca2dfffff,5
900.0,8830e1ca63fffff,3
900.0,internal_or_unknown,3
1200.0,8830e1ca05fffff,10
1200.0,8830e1ca07fffff,5
1200.0,8830e1ca21fffff,2
1200.0,8830e1ca23fffff,0
1200.0,8830e1ca29fffff,6
1200.0,8830e1ca2bfffff,10
1200.0,8830e1ca2dfffff,2
1200.0,8830e1ca63fffff,3
1200.0,internal_or_unknown,7
1500.0,8830e1ca05fffff,13
1500.0,8830e1ca07fffff,5
1500.0,8830e1ca21fffff,3
1500.0,8830e1ca23fffff,0
1500.0,8830e1ca29fffff,11
1500.0,8830e1ca2bfffff,5
1500.0,8830e1ca2dfffff,3
1500.0,8830e1ca63fffff,3
1500.0,internal_or_unknown,5
1800.0,8830e1ca05fffff,14
1800.0,8830e1ca07fffff,2
1800.0,8830e1ca21fffff,3
1800.0,8830e1ca23fffff,0
1800.0,8830e1ca29fffff,10
1800.0,8830e1ca2bfffff,8
1800.0,8830e1ca2dfffff,3
1800.0,8830e1ca63fffff,2
1800.0,internal_or_unknown,1
2100.0,8830e1ca05fffff,14
2100.0,8830e1ca07fffff,1
2100.0,8830e1ca21fffff,3
2100.0,8830e1ca23fffff,0
2100.0,8830e1ca29fffff,8
2100.0,8830e1ca2bfffff,8
2100.0,8830e1ca2dfffff,5
2100.0,8830e1ca63fffff,1
2100.0,internal_or_unknown,7
2400.0,8830e1ca05fffff,6
2400.0,8830e1ca07fffff,3
2400.0,8830e1ca21fffff,3
2400.0,8830e1ca23fffff,0
2400.0,8830e1ca29fffff,7
2400.0,8830e1ca2bfffff,13
2400.0,8830e1ca2dfffff,3
