request_id,request_sec,pickup_sec,status
call_20260831_1867,1.0,60.0,picked_up
call_20260831_1868,169.0,194.0,picked_up
call_20260831_1869,237.0,265.0,picked_up
call_20260831_1870,249.0,259.0,picked_up
call_20260831_1871,279.0,348.0,picked_up
call_20260831_1872,317.0,355.0,picked_up
call_20260831_1873,355.0,423.0,picked_up
call_20260831_1874,372.0,428.0,picked_up
call_20260831_1875,523.0,551.0,picked_up
call_20260831_1876,553.0,605.0,picked_up
call_20260831_1877,559.0,604.0,picked_up
call_20260831_1878,561.0,615.0,picked_up
call_20260831_1879,626.0,653.0,picked_up
call_20260831_1880,654.0,697.0,picked_up
call_20260831_1881,673.0,796.0,picked_up
call_20260831_1882,680.0,784.0,picked_up
call_20260831_1883,696.0,832.0,picked_up
call_20260831_1884,724.0,815.0,picked_up
call_20260831_1885,797.0,849.0,picked_up
call_20260831_1886,800.0,887.0,picked_up
call_20260831_1887,860.0,923.0,picked_up
call_20260831_1888,869.0,1028.0,picked_up
call_20260831_1889,894.0,1010.0,picked_up
call_20260831_1890,929.0,1064.0,picked_up
call_20260831_1891,953.0,1024.0,picked_up
call_20260831_1892,1006.0,1091.0,picked_up
call_20260831_1893,1009.0,1154.0,picked_up
call_20260831_1894,1009.0,1230.0,picked_up
call_20260831_1895,1030.0,1246.0,picked_up
call_20260831_1896,1097.0,1220.0,picked_up
call_20260831_1897,1112.0,1263.0,picked_up
call_20260831_1898,1164.0,1310.0,picked_up
call_20260831_1899,1192.0,1315.0,picked_up
call_20260831_1900,1214.0,1395.0,picked_up
call_20260831_1901,1219.0,1436.0,picked_up
call_20260831_1902,1223.0,1436.0,picked_up
call_20260831_1903,1241.0,1450.0,picked_up
call_20260831_1904,1267.0,1482.0,picked_up
call_20260831_1905,1283.0,1467.0,picked_up
call_20260831_1906,1294.0,1592.0,picked_up
call_20260831_1907,1294.0,1606.0,picked_up
call_20260831_1908,1311.0,1652.0,picked_up
call_20260831_1909,1317.0,1646.0,picked_up
call_20260831_1910,1373.0,1679.0,picked_up
call_20260831_1911,1383.0,1692.0,picked_up
call_20260831_1912,1389.0,1740.0,picked_up
call_20260831_1913,1430.0,1808.0,picked_up
call_20260831_1914,1450.0,1849.0,picked_up
call_20260831_1915,1463.0,1898.0,picked_up
call_20260831_1916,1488.0,1875.0,picked_up
call_20260831_1917,1493.0,1899.0,picked_up
call_20260831_1918,1498.0,1947.0,picked_up
call_20260831_1919,1511.0,1971.0,picked_up
call_20260831_1920,1532.0,,timeout
call_20260831_1921,1534.0,,timeout
call_20260831_1922,1539.0,,timeout
call_20260831_1923,1547.0,,timeout
call_20260831_1924,1553.0,,timeout
call_20260831_1925,1621.0,2073.0,picked_up
call_20260831_1926,1690.0,2091.0,picked_up
call_20260831_1927,1692.0,2110.0,picked_up
call_20260831_1928,1723.0,2117.0,picked_up
call_20260831_1929,1731.0,2176.0,picked_up
call_20260831_1930,1756.0,2188.0,picked_up
call_20260831_1931,1758.0,,timeout
call_20260831_1932,1783.0,2240.0,picked_up
call_20260831_1933,1786.0,,timeout
call_20260831_1934,1868.0,2317.0,picked_up
call_20260831_1935,1910.0,2309.0,picked_up
call_20260831_1936,1928.0,2323.0,picked_up
call_20260831_1937,1940.0,2337.0,picked_up
call_20260831_1938,1996.0,2342.0,picked_up
call_20260831_1939,2024.0,2484.0,picked_up
call_20260831_1940,2028.0,2483.0,picked_up
call_20260831_1941,2053.0,2472.0,picked_up
call_20260831_1942,2084.0,2514.0,picked_up
call_20260831_1943,2089.0,2534.0,picked_up
call_20260831_1944,2173.0,2575.0,picked_up
call_20260831_1945,2174.0,2662.0,picked_up
call_20260831_1946,2254.0,2698.0,picked_up
call_20260831_1947,2279.0,2702.0,picked_up
call_20260831_1948,2282.0,2650.0,picked_up
call_20260831_1949,2291.0,2742.0,picked_up
call_20260831_1950,2306.0,2751.0,picked_up
call_20260831_1951,2312.0,,timeout
call_20260831_1952,2433.0,2850.0,picked_up
call_20260831_1953,2535.0,2875.0,picked_up
call_20260831_1954,2567.0,2889.0,picked_up
call_20260831_1955,2600.0,2948.0,picked_up
call_20260831_1956,2604.0,2901.0,picked_up
call_20260831_1957,2627.0,2951.0,picked_up
call_20260831_1958,2632.0,2991.0,picked_up
call_20260831_1959,2644.0,3055.0,picked_up
call_20260831_1960,2646.0,3073.0,picked_up
call_20260831_1961,2653.0,3126.0,picked_up
call_20260831_1962,2752.0,3143.0,picked_up
call_20260831_1963,2795.0,3188.0,picked_up
call_20260831_1964,2829.0,3225.0,picked_up
call_20260831_1965,2852.0,3216.0,picked_up
call_20260831_1966,2855.0,3288.0,picked_up
call_20260831_1967,2860.0,3333.0,picked_up
call_20260831_1968,2886.0,3346.0,picked_up
call_20260831_1969,2888.0,3349.0,picked_up
call_20260831_1970,2922.0,,timeout
call_20260831_1971,2953.0,3441.0,picked_up
call_20260831_1972,2995.0,,timeout
call_20260831_1973,3011.0,3504.0,picked_up
call_20260831_1974,3048.0,3494.0,picked_up
call_20260831_1975,3062.0,3549.0,picked_up
call_20260831_1976,3106.0,3524.0,picked_up
call_20260831_1977,3108.0,3542.0,picked_up
call_20260831_1978,3179.0,,pending
call_20260831_1979,3191.0,,pending
call_20260831_1980,3200.0,,pending
call_20260831_1981,3203.0,,pending
call_20260831_1982,3243.0,,pending
call_20260831_1983,3247.0,,pending
call_20260831_1984,3296.0,,pending
call_20260831_1985,3331.0,,pending
call_20260831_1986,3388.0,,pending
call_20260831_1987,3398.0,,pending
call_20260831_1988,3400.0,,pending
call_20260831_1989,3405.0,,pending
call_20260831_1990,3413.0,,pending
call_20260831_1991,3434.0,,pending
call_20260831_1992,3470.0,,pending
call_20260831_1993,3483.0,,pending
call_20260831_1994,3516.0,,pending
call_20260831_1995,3541.0,,pending
