time_sec,h3_index,idle_taxis
1.0,8830e1ca05fffff,3
1.0,8830e1ca07fffff,5
1.0,8830e1ca21fffff,0
1.0,8830e1ca23fffff,0
1.0,8830e1ca29fffff,6
1.0,8830e1ca2bfffff,2
1.0,8830e1ca2dfffff,2
1.0,8830e1ca63fffff,8
300.0,8830e1ca05fffff,11
300.0,8830e1ca07fffff,1
300.0,8830e1ca21fffff,0
300.0,8830e1ca23fffff,0
300.0,8830e1ca29fffff,10
300.0,8830e1ca2bfffff,18
300.0,8830e1ca2dfffff,1
300.0,8830e1ca63fffff,1
300.0,internal_or_unknown,3
600.0,8830e1ca05fffff,9
600.0,8830e1ca07fffff,1
600.0,8830e1ca21fffff,2
600.0,8830e1ca23fffff,0
600.0,8830e1ca29fffff,12
600.0,8830e1ca2bfffff,19
600.0,8830e1ca2dfffff,0
600.0,8830e1ca63fffff,1
600.0,internal_or_unknown,1
900.0,8830e1ca05fffff,13
900.0,8830e1ca07fffff,2
900.0,8830e1ca21fffff,1
900.0,8830e1ca23fffff,0
900.0,8830e1ca29fffff,11
900.0,8830e1ca2bfffff,12
900.0,8830e1ca2dfffff,0
900.0,8830e1ca63fffff,0
900.0,internal_or_unknown,4
1200.0,8830e1ca05fffff,16
1200.0,8830e1ca07fffff,0
1200.0,8830e1ca21fffff,0
1200.0,8830e1ca23fffff,0
1200.0,8830e1ca29fffff,16
1200.0,8830e1ca2bfffff,10
1200.0,8830e1ca2dfffff,0
1200.0,8830e1ca63fffff,1
1200.0,internal_or_unknown,2
1500.0,8830e1ca05fffff,17
1500.0,8830e1ca07fffff,0
1500.0,8830e1ca21fffff,1
1500.0,8830e1ca23fffff,0
1500.0,8830e1ca29fffff,17
1500.0,8830e1ca2bfffff,8
1500.0,8830e1ca2dfffff,0
1500.0,8830e1ca63fffff,0
1500.0,internal_or_unknown,5
1800.0,8830e1ca05fffff,13
1800.0,8830e1ca07fffff,0
1800.0,8830e1ca21fffff,0
1800.0,8830e1ca23fffff,0
1800.0,8830e1ca29fffff,18
1800.0,8830e1ca2bfffff,4
1800.0,8830e1ca2dfffff,0
1800.0,8830e1ca63fffff,0
1800.0,internal_or_unknown,7
2100.0,8830e1ca05fffff,13
2100.0,8830e1ca07fffff,3
2100.0,8830e1ca21fffff,0
2100.0,8830e1ca23fffff,0
2100.0,8830e1ca29fffff,15
2100.0,8830e1ca2bfffff,11
2100.0,8830e1ca2dfffff,0
2100.0,8830e1ca63fffff,0
2100.0,internal_or_unknown,3
2400.0,8830e1ca05fffff,12
2400.0,8830e1ca07fffff,1
2400.0,8830e1ca21fffff,1
2400.0,8830e1ca23fffff,0
2400.0,8830e1ca29fffff,15
2400.0,8830e1ca2bfffff,10
2400.0,8830e1ca2dfffff,0
